ItemName_CN = {
	ItemName_Packing.pkCultivation					= "修炼书籍捆绑",
	ItemName_Packing.pkMoreSmokesMags				= "堆栈 更多吸烟食谱杂志",
	ItemName_Packing.pkMoreSmokesRareMags			= "堆栈 更多吸烟稀有食谱杂志",
	ItemName_Packing.5pkRollingPapersPack			= "5 x 卷烟纸包",
	ItemName_Packing.10pkRollingPapersPack			= "10 x 卷烟纸包",
	ItemName_Packing.5pkGrinder						= "5 x 研磨器",
	ItemName_Packing.10pkGrinder					= "10 x 研磨器",
	ItemName_Packing.5pkMSCigaretteCarton			= "5 x 条装香烟",
	ItemName_Packing.10pkMSCigaretteCarton			= "10 x 条装香烟",
	ItemName_Packing.5pkCigarilloPack				= "5 x 包装小雪茄",
	ItemName_Packing.10pkCigarilloPack				= "10 x 包装小雪茄",
	ItemName_Packing.5pkCigarBox					= "5 x 盒装雪茄",
	ItemName_Packing.5pkCigarBox					= "10 x 盒装雪茄",
	ItemName_Packing.5pkJointsPackNorthernLights	= "5 x 包装大麻卷"北极光"",
	ItemName_Packing.10pkJointsPackNorthernLights	= "10 x 包装大麻卷"北极光"",
	ItemName_Packing.5pkJointsPackPurpleHaze		= "5 x 包装大麻卷"紫氤"",
	ItemName_Packing.10pkJointsPackPurpleHaze		= "10 x 包装大麻卷"紫氤"",
	ItemName_Packing.5pkJointsPackSourDiesel		= "5 x 包装大麻卷"酸柴油"",
	ItemName_Packing.10pkJointsPackSourDiesel		= "10 x 包装大麻卷"酸柴油"",
	ItemName_Packing.5pkBluntsPackNorthernLights	= "5 x 包装大麻雪茄"北极光"",
	ItemName_Packing.10pkBluntsPackNorthernLights	= "10 x 包装大麻雪茄"北极光"",
	ItemName_Packing.5pkBluntsPackPurpleHaze		= "5 x 包装大麻雪茄"紫氤"",
	ItemName_Packing.10pkBluntsPackPurpleHaze		= "10 x 包装大麻雪茄"紫氤"",
	ItemName_Packing.5pkBluntsPackSourDiesel		= "5 x 包装大麻雪茄"酸柴油"",
	ItemName_Packing.10pkBluntsPackSourDiesel		= "10 x 包装大麻雪茄"酸柴油"",
	ItemName_Packing.5pkSpliffsPackNorthernLights	= "5 x 包装大麻烟"北极光"",
	ItemName_Packing.10pkSpliffsPackNorthernLights	= "10 x 包装大麻烟"北极光"",
	ItemName_Packing.5pkSpliffsPackPurpleHaze		= "5 x 包装大麻烟"紫氤"",
	ItemName_Packing.10pkSpliffsPackPurpleHaze		= "10 x 包装大麻烟"紫氤"",
	ItemName_Packing.5pkSpliffsPackSourDiesel		= "5 x 包装大麻烟"酸柴油"",
	ItemName_Packing.10pkSpliffsPackSourDiesel		= "10 x 包装大麻烟"酸柴油"",
	ItemName_Packing.5pkJointsPackIndigoFog			= "5 x 包装大麻卷"青雾"",
	ItemName_Packing.10pkJointsPackIndigoFog		= "10 x 包装大麻卷"青雾"",
	ItemName_Packing.5pkBluntsPackBackwoods			= "5 x 包装大麻雪茄"森林大火"",
	ItemName_Packing.10pkBluntsPackBackwoods		= "10 x 包装大麻雪茄"森林大火"",
	ItemName_Packing.5pkChewingTobaccoCanEmpty		= "5 x 空的嚼烟罐",
	ItemName_Packing.25pkChewingTobaccoCanEmpty		= "25 x 空的嚼烟罐",
	ItemName_Packing.5pkSeedPackTobacco				= "5 x 烟草种子包",
	ItemName_Packing.25pkSeedPackTobacco			= "25 x 烟草种子包",
	ItemName_Packing.5pkSeedPackNorthernLights		= "5 x 大麻种子包"北极光"",
	ItemName_Packing.25pkSeedPackNorthernLights		= "25 x 大麻种子包"北极光"",
	ItemName_Packing.5pkSeedPackPurpleHaze			= "5 x 大麻种子包"紫氤"",
	ItemName_Packing.25pkSeedPackPurpleHaze			= "25 x 大麻种子包"紫氤"",
	ItemName_Packing.5pkSeedPackSourDiesel			= "5 x 大麻种子包"酸柴油"",
	ItemName_Packing.25pkSeedPackSourDiesel			= "25 x 大麻种子包"酸柴油"",
	ItemName_Packing.5pkTobaccoLeavesDry			= "5 x 烟叶 [干燥]",
	ItemName_Packing.25pkTobaccoLeavesDry			= "25 x 烟叶 [干燥]",
	ItemName_Packing.5pkTobaccoLoose				= "5 x 烟丝",
	ItemName_Packing.25pkTobaccoLoose				= "25 x 烟丝",
	ItemName_Packing.5pkTobaccoLeavesDry			= "5 x 烟丝 [塑封]",
	ItemName_Packing.25pkTobaccoLeavesDry			= "25 x 烟丝 [塑封]",
	ItemName_Packing.5pkTobaccoLeavesDry			= "5 x 烟衣",
	ItemName_Packing.25pkTobaccoLeavesDry			= "25 x 烟衣",
	ItemName_Packing.5pkBudNorthernLightsDry		= "5 x 大麻芽"北极光" [干燥]",
	ItemName_Packing.25pkBudNorthernLightsDry		= "25 x 大麻芽"北极光" [干燥]",
	ItemName_Packing.5pkBudPurpleHazeDry			= "5 x 大麻芽"紫氤" [干燥]",
	ItemName_Packing.25pkBudPurpleHazeDry			= "25 x 大麻芽"紫氤" [干燥]",
	ItemName_Packing.5pkBudSourDieselDry			= "5 x 大麻芽"酸柴油" [干燥]",
	ItemName_Packing.25pkBudSourDieselDry			= "25 x 大麻芽"酸柴油" [干燥]",
	ItemName_Packing.5pkBudNorthernLightsCured		= "5 x 大麻芽"北极光" [已固化]",
